Trade #,Type,Date and time,Price,Qty,Net PnL,Net PnL %,Favorable excursion USD,Adverse excursion USD,Cumulative PnL
179,Exit long,2026-04-30 00:00,2251.760000,1,6.810000,0.3033,18.800000,-26.120000,-847.500000
179,Entry long,2026-04-29 18:00,2244.950000,1,6.810000,0.3033,18.800000,-26.120000,-847.500000
178,Exit long,2026-04-28 02:30,2280.380000,1,-0.280000,-0.0123,29.070000,-16.780000,-854.310000
178,Entry long,2026-04-27 15:15,2280.660000,1,-0.280000,-0.0123,29.070000,-16.780000,-854.310000
177,Exit long,2026-04-23 17:00,2317.400000,1,-39.680000,-1.6834,24.770000,-53.180000,-854.030000
177,Entry long,2026-04-23 00:15,2357.080000,1,-39.680000,-1.6834,24.770000,-53.180000,-854.030000
176,Exit long,2026-04-20 05:00,2272.100000,1,-9.000000,-0.3945,11.810000,-30.190000,-814.350000
176,Entry long,2026-04-19 20:30,2281.100000,1,-9.000000,-0.3945,11.810000,-30.190000,-814.350000
175,Exit long,2026-04-17 01:15,2332.310000,1,31.450000,1.3669,62.810000,-18.160000,-805.350000
175,Entry long,2026-04-16 13:45,2300.860000,1,31.450000,1.3669,62.810000,-18.160000,-805.350000
174,Exit long,2026-04-15 03:00,2321.750000,1,-18.990000,-0.8113,30.150000,-39.140000,-836.800000
174,Entry long,2026-04-14 15:00,2340.740000,1,-18.990000,-0.8113,30.150000,-39.140000,-836.800000
173,Exit long,2026-04-12 22:45,2198.360000,1,1.910000,0.0870,21.250000,-23.450000,-817.810000
173,Entry long,2026-04-12 10:45,2196.450000,1,1.910000,0.0870,21.250000,-23.450000,-817.810000
172,Exit long,2026-04-07 10:45,2088.290000,1,-17.880000,-0.8489,26.790000,-21.070000,-819.720000
172,Entry long,2026-04-06 22:45,2106.170000,1,-17.880000,-0.8489,26.790000,-21.070000,-819.720000
171,Exit long,2026-04-02 01:15,2110.800000,1,1.290000,0.0612,1.290000,-5.690000,-801.840000
171,Entry long,2026-04-02 01:15,2109.510000,1,1.290000,0.0612,1.290000,-5.690000,-801.840000
170,Exit long,2026-04-01 02:00,2091.710000,1,72.350000,3.5828,105.150000,-8.110000,-803.130000
170,Entry long,2026-03-31 09:45,2019.360000,1,72.350000,3.5828,105.150000,-8.110000,-803.130000
169,Exit long,2026-03-30 17:15,2040.260000,1,83.710000,4.2784,130.440000,-20.010000,-875.480000
169,Entry long,2026-03-29 22:45,1956.550000,1,83.710000,4.2784,130.440000,-20.010000,-875.480000
168,Exit long,2026-03-28 02:30,1985.200000,1,-40.130000,-1.9814,0.000000,-59.130000,-959.190000
168,Entry long,2026-03-27 10:30,2025.330000,1,-40.130000,-1.9814,0.000000,-59.130000,-959.190000
167,Exit long,2026-03-26 23:45,2059.170000,1,-70.650000,-3.3172,0.000000,-96.600000,-919.060000
167,Entry long,2026-03-26 05:30,2129.820000,1,-70.650000,-3.3172,0.000000,-96.600000,-919.060000
166,Exit long,2026-03-25 14:45,2173.130000,1,56.600000,2.6742,83.580000,-14.530000,-848.410000
166,Entry long,2026-03-24 17:00,2116.530000,1,56.600000,2.6742,83.580000,-14.530000,-848.410000
165,Exit long,2026-03-23 23:00,2145.210000,1,121.790000,6.0190,175.580000,-1.840000,-905.010000
165,Entry long,2026-03-23 07:00,2023.420000,1,121.790000,6.0190,175.580000,-1.840000,-905.010000
164,Exit long,2026-03-22 06:30,2110.850000,1,-0.530000,-0.0251,15.000000,-65.810000,-1026.800000
164,Entry long,2026-03-21 23:45,2111.380000,1,-0.530000,-0.0251,15.000000,-65.810000,-1026.800000
163,Exit long,2026-03-20 05:45,2139.330000,1,-15.310000,-0.7106,37.350000,-56.620000,-1026.270000
163,Entry long,2026-03-19 07:15,2154.640000,1,-15.310000,-0.7106,37.350000,-56.620000,-1026.270000
162,Exit long,2026-03-19 01:00,2190.020000,1,-93.770000,-4.1059,0.000000,-133.090000,-1010.960000
162,Entry long,2026-03-18 11:30,2283.790000,1,-93.770000,-4.1059,0.000000,-133.090000,-1010.960000
161,Exit long,2026-03-11 05:30,2016.230000,1,-10.170000,-0.5019,21.600000,-16.400000,-917.190000
161,Entry long,2026-03-10 19:30,2026.400000,1,-10.170000,-0.5019,21.600000,-16.400000,-917.190000
160,Exit long,2026-03-09 22:30,2010.100000,1,1.810000,0.0901,1.810000,-2.130000,-907.020000
160,Entry long,2026-03-09 22:30,2008.290000,1,1.810000,0.0901,1.810000,-2.130000,-907.020000
159,Exit long,2026-03-08 22:15,1928.070000,1,9.180000,0.4784,14.770000,-12.260000,-908.830000
159,Entry long,2026-03-08 22:00,1918.890000,1,9.180000,0.4784,14.770000,-12.260000,-908.830000
158,Exit long,2026-03-08 11:45,1950.290000,1,17.030000,0.8809,45.770000,-5.680000,-918.010000
158,Entry long,2026-03-08 04:45,1933.260000,1,17.030000,0.8809,45.770000,-5.680000,-918.010000
157,Exit long,2026-03-06 23:30,1981.050000,1,-60.500000,-2.9634,20.450000,-87.300000,-935.040000
157,Entry long,2026-03-06 12:00,2041.550000,1,-60.500000,-2.9634,20.450000,-87.300000,-935.040000
